         17930710 function calls (17929583 primitive calls) in 23.315 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      274    0.001    0.000    0.003    0.000 function_base.py:3251(add_newdoc)
        5    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        5    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        2    0.000    0.000    0.049    0.025 getlimits.py:126(_init)
       24    0.000    0.000    0.000    0.000 getlimits.py:13(_frz)
        4    0.000    0.000    0.000    0.000 getlimits.py:147(<lambda>)
        2    0.000    0.000    0.000    0.000 getlimits.py:148(<lambda>)
       12    0.000    0.000    0.000    0.000 getlimits.py:149(<lambda>)
       10    0.000    0.000    0.000    0.000 getlimits.py:150(<lambda>)
        1    0.000    0.000    0.000    0.000 getlimits.py:194(iinfo)
        1    0.000    0.000    0.000    0.000 getlimits.py:24(finfo)
        5    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
        2    0.000    0.000    0.000    0.000 getlimits.py:269(max)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        4    0.000    0.000    0.049    0.012 getlimits.py:93(__new__)
        1    0.032    0.032   23.368   23.368 gibbs_sampling_fixed_paths.py:1(<module>)
      156    0.000    0.000    0.000    0.000 gibbs_sampling_fixed_paths.py:10(path_len)
  1844500    0.747    0.000    0.747    0.000 gibbs_sampling_fixed_paths.py:104(<lambda>)
      738    0.039    0.000    0.041    0.000 gibbs_sampling_fixed_paths.py:111(computeCounts)
    14756    0.076    0.000    3.991    0.000 gibbs_sampling_fixed_paths.py:123(make_distr_peaked)
  1844500    1.391    0.000    1.391    0.000 gibbs_sampling_fixed_paths.py:129(<lambda>)
  1844500    0.702    0.000    0.702    0.000 gibbs_sampling_fixed_paths.py:131(<lambda>)
     2000    0.010    0.000    0.019    0.000 gibbs_sampling_fixed_paths.py:136(filter_Z)
    62000    0.259    0.000    0.769    0.000 gibbs_sampling_fixed_paths.py:143(CRP_likelihood)
   310000    0.142    0.000    0.142    0.000 gibbs_sampling_fixed_paths.py:145(<lambda>)
     2000    0.262    0.000    1.099    0.001 gibbs_sampling_fixed_paths.py:153(NCRP_likelihood)
        2    0.177    0.088    1.319    0.659 gibbs_sampling_fixed_paths.py:172(compute_likelihood)
        1    0.096    0.096   20.906   20.906 gibbs_sampling_fixed_paths.py:187(run_gibbs_sampler)
        1    0.000    0.000    0.572    0.572 gibbs_sampling_fixed_paths.py:227(read_data)
     1000    0.003    0.000    0.557    0.001 gibbs_sampling_fixed_paths.py:230(<lambda>)
     1000    0.000    0.000    0.001    0.000 gibbs_sampling_fixed_paths.py:231(<lambda>)
     1000    0.006    0.000    0.007    0.000 gibbs_sampling_fixed_paths.py:232(<lambda>)
        1    0.031    0.031   22.223   22.223 gibbs_sampling_fixed_paths.py:235(main)
        1    0.000    0.000    0.000    0.000 gibbs_sampling_fixed_paths.py:25(initialize_parameters)
   457454    3.691    0.000    6.826    0.000 gibbs_sampling_fixed_paths.py:47(CRP)
  2287270    0.684    0.000    0.684    0.000 gibbs_sampling_fixed_paths.py:59(<lambda>)
    14757    2.450    0.000   11.163    0.001 gibbs_sampling_fixed_paths.py:64(nCRP)
  2287270    0.631    0.000    0.631    0.000 gibbs_sampling_fixed_paths.py:78(<lambda>)
    14757    2.491    0.000   20.088    0.001 gibbs_sampling_fixed_paths.py:83(sample_Z)
        1    0.005    0.005    0.005    0.005 hashlib.py:55(<module>)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.004    0.004    0.006    0.006 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1750(Hermite)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1747(HermiteE)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
        1    0.044    0.044    0.101    0.101 index_tricks.py:1(<module>)
        2    0.000    0.000    0.000    0.000 index_tricks.py:148(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:223(AxisConcatenator)
        3    0.000    0.000    0.000    0.000 index_tricks.py:242(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:352(RClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:447(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:452(CClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:470(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:475(ndenumerate)
        1    0.000    0.000    0.000    0.000 index_tricks.py:525(ndindex)
        1    0.000    0.000    0.000    0.000 index_tricks.py:603(IndexExpression)
        2    0.000    0.000    0.000    0.000 index_tricks.py:647(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:87(nd_grid)
        1    0.000    0.000    0.000    0.000 info.py:147(<module>)
        1    0.000    0.000    0.000    0.000 info.py:176(<module>)
        1    0.000    0.000    0.000    0.000 info.py:34(<module>)
        1    0.000    0.000    0.000    0.000 info.py:83(<module>)
        1    0.000    0.000    0.000    0.000 info.py:84(<module>)
        1    0.008    0.008    0.009    0.009 io.py:34(<module>)
        1    0.000    0.000    0.000    0.000 io.py:78(IOBase)
        1    0.000    0.000    0.000    0.000 io.py:81(RawIOBase)
        1    0.000    0.000    0.000    0.000 io.py:84(BufferedIOBase)
        1    0.000    0.000    0.000    0.000 io.py:87(TextIOBase)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:1742(Laguerre)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
        1    0.000    0.000    0.000    0.000 lambertw.py:1(<module>)
        1    0.002    0.002    0.002    0.002 lapack.py:217(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:1770(Legendre)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.010    0.010    0.010    0.010 linalg.py:10(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:43(LinAlgError)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
        1    0.000    0.000    0.000    0.000 linalg_version.py:1(<module>)
        1    0.003    0.003    0.003    0.003 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:38(TestLoader)
        2    0.013    0.007    0.049    0.024 machar.py:113(_do_init)
        1    0.000    0.000    0.000    0.000 machar.py:17(MachAr)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        2    0.000    0.000    0.049    0.024 machar.py:97(__init__)
        1    0.003    0.003    0.005    0.005 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 main.py:63(TestProgram)
        1    0.004    0.004    0.004    0.004 matfuncs.py:5(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:23(memmap)
        1    0.001    0.001    0.010    0.010 misc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:16(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:129(NoseTester)
       26    0.000    0.000    0.001    0.000 nosetester.py:181(__init__)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.029    0.029    0.053    0.053 npyio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 npyio.py:133(NpzFile)
        1    0.000    0.000    0.000    0.000 npyio.py:86(BagObj)
        1    0.000    0.000    0.000    0.000 numbers.py:13(Number)
        1    0.000    0.000    0.000    0.000 numbers.py:169(Real)
        1    0.000    0.000    0.000    0.000 numbers.py:270(Rational)
        1    0.000    0.000    0.000    0.000 numbers.py:295(Integral)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        1    0.031    0.031    0.056    0.056 numeric.py:1(<module>)
        2    0.000    0.000    0.000    0.000 numeric.py:1717(set_string_function)
        6    0.000    0.000    0.000    0.000 numeric.py:2428(seterr)
        6    0.000    0.000    0.000    0.000 numeric.py:2524(geterr)
        1    0.000    0.000    0.000    0.000 numeric.py:2743(_unspecified)
        1    0.000    0.000    0.000    0.000 numeric.py:2747(errstate)
        3    0.000    0.000    0.000    0.000 numeric.py:2809(__init__)
        3    0.000    0.000    0.000    0.000 numeric.py:2813(__enter__)
        3    0.000    0.000    0.000    0.000 numeric.py:2818(__exit__)
        1    0.000    0.000    0.000    0.000 numeric.py:2824(_setdef)
        3    0.000    0.000    0.000    0.000 numeric.py:351(extend_all)
        1    0.000    0.000    0.002    0.002 numeric.py:394(asarray)
     2024    0.002    0.000    0.011    0.000 numeric.py:464(asanyarray)
        1    0.000    0.000    0.000    0.000 numeric.py:52(ComplexWarning)
       72    0.000    0.000    0.000    0.000 numerictypes.py:131(english_lower)
       40    0.000    0.000    0.000    0.000 numerictypes.py:158(english_upper)
       14    0.000    0.000    0.000    0.000 numerictypes.py:185(english_capitalize)
       21    0.000    0.000    0.000    0.000 numerictypes.py:220(_evalname)
       26    0.000    0.000    0.000    0.000 numerictypes.py:233(bitname)
        1    0.000    0.000    0.000    0.000 numerictypes.py:289(_add_types)
        1    0.000    0.000    0.001    0.001 numerictypes.py:305(_add_aliases)
        1    0.000    0.000    0.000    0.000 numerictypes.py:346(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 numerictypes.py:387(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 numerictypes.py:436(_construct_char_code_lookup)
       30    0.000    0.000    0.000    0.000 numerictypes.py:451(_add_array_type)
        1    0.000    0.000    0.000    0.000 numerictypes.py:459(_set_array_types)
